iter	Passed	Remaining
1329	60196	52955
1330	60236	52904
1331	60278	52857
1332	60319	52807
1333	60360	52759
1334	60399	52708
1335	60442	52661
1336	60478	52608
1337	60522	52561
1338	60564	52513
1339	60600	52460
1340	60641	52411
1341	60679	52360
1342	60720	52310
1343	60761	52261
1344	60799	52210
1345	60836	52158
1346	60880	52112
1347	60941	52080
1348	60982	52031
1349	61024	51983
1350	61061	51931
1351	61097	51878
1352	61137	51829
1353	61179	51781
1354	61222	51734
1355	61263	51685
1356	61302	51635
1357	61341	51584
1358	61400	51550
1359	61437	51499
1360	61477	51449
1361	61522	51403
1362	61563	51355
1363	61602	51305
1364	61643	51256
1365	61683	51207
1366	61726	51160
1367	61769	51113
1368	61805	51060
1369	61846	51011
1370	61889	50965
1371	61931	50917
1372	61994	50886
1373	62038	50840
1374	62073	50787
1375	62111	50736
1376	62149	50685
1377	62191	50637
1378	62230	50587
1379	62269	50537
1380	62309	50488
1381	62349	50438
1382	62389	50389
1383	62433	50344
1384	62475	50296
1385	62519	50250
1386	62567	50207
1387	62612	50162
1388	62651	50111
1389	62692	50063
1390	62732	50014
1391	62772	49965
1392	62810	49914
1393	62849	49865
1394	62889	49815
1395	62945	49778
1396	63003	49744
1397	63044	49695
1398	63085	49647
1399	63123	49597
1400	63165	49549
1401	63201	49497
1402	63243	49449
1403	63287	49403
1404	63327	49355
1405	63367	49306
1406	63407	49256
1407	63452	49211
1408	63494	49164
1409	63538	49118
1410	63581	49071
1411	63623	49024
1412	63664	48975
1413	63707	48929
1414	63746	48879
1415	63786	48830
1416	63827	48782
1417	63869	48735
1418	63908	48685
1419	63949	48637
1420	63998	48595
1421	64066	48567
1422	64110	48522
1423	64151	48473
1424	64190	48424
1425	64231	48376
1426	64271	48327
1427	64310	48277
1428	64351	48229
1429	64391	48181
1430	64432	48133
1431	64469	48082
1432	64512	48035
1433	64558	47991
1434	64597	47941
1435	64636	47892
1436	64676	47843
1437	64719	47797
1438	64760	47748
1439	64803	47702
1440	64842	47652
1441	64880	47603
1442	64920	47554
1443	64959	47504
1444	64999	47456
1445	65041	47408
1446	65098	47373
1447	65142	47327
1448	65182	47278
1449	65219	47227
1450	65258	47178
1451	65297	47129
1452	65337	47080
1453	65383	47036
1454	65423	46988
1455	65466	46941
1456	65506	46893
1457	65555	46850
1458	65597	46803
1459	65638	46756
1460	65677	46707
1461	65725	46663
1462	65775	46623
1463	65812	46572
1464	65853	46524
1465	65891	46474
1466	65931	46426
1467	65971	46377
1468	66012	46330
1469	66051	46280
1470	66091	46232
1471	66148	46196
1472	66190	46148
1473	66229	46099
1474	66268	46050
1475	66309	46003
1476	66358	45961
1477	66398	45912
1478	66438	45864
1479	66481	45818
1480	66522	45770
1481	66564	45723
1482	66608	45678
1483	66648	45630
1484	66686	45580
1485	66731	45535
1486	66771	45487
1487	66810	45438
1488	66850	45390
1489	66893	45343
1490	66932	45295
1491	66972	45247
1492	67011	45197
1493	67048	45147
1494	67090	45101
1495	67130	45052
1496	67182	45012
1497	67232	44971
1498	67271	44922
1499	67310	44873
1500	67349	44825
1501	67388	44776
1502	67427	44727
1503	67469	44680
1504	67513	44635
1505	67559	44590
1506	67598	44542
1507	67644	44498
1508	67687	44451
1509	67729	44405
1510	67769	44357
1511	67808	44308
1512	67851	44262
1513	67890	44214
1514	67926	44163
1515	67966	44115
1516	68005	44066
1517	68042	44016
1518	68083	43969
1519	68124	43922
1520	68162	43872
1521	68202	43825
1522	68268	43794
1523	68310	43747
1524	68348	43698
1525	68383	43647
1526	68422	43598
1527	68461	43549
1528	68500	43501
1529	68545	43457
1530	68584	43408
1531	68624	43360
1532	68665	43313
1533	68716	43272
1534	68762	43228
1535	68801	43180
1536	68844	43134
1537	68886	43087
1538	68926	43039
1539	68965	42991
1540	69007	42944
1541	69048	42897
1542	69087	42849
1543	69126	42801
1544	69169	42755
1545	69209	42707
1546	69247	42658
1547	69387	42672
1548	69427	42624
1549	69469	42578
1550	69507	42529
1551	69553	42484
1552	69594	42438
1553	69636	42391
1554	69680	42346
1555	69724	42300
1556	69764	42252
1557	69810	42208
1558	69853	42162
1559	69895	42116
1560	69940	42071
1561	69981	42024
1562	70019	41975
1563	70061	41929
1564	70104	41883
1565	70142	41834
1566	70186	41789
1567	70224	41740
1568	70264	41693
1569	70305	41645
1570	70346	41599
1571	70414	41567
1572	70456	41521
1573	70496	41473
1574	70542	41429
1575	70586	41384
1576	70626	41336
1577	70664	41288
1578	70706	41241
1579	70750	41196
1580	70788	41147
1581	70829	41100
1582	70869	41053
1583	70908	41005
1584	70949	40958
1585	70988	40910
1586	71031	40864
1587	71072	40817
1588	71112	40769
1589	71151	40722
1590	71192	40674
1591	71232	40627
1592	71274	40581
1593	71310	40531
1594	71356	40487
1595	71412	40449
1596	71483	40419
1597	71530	40376
1598	71572	40329
1599	71612	40282
1600	71652	40234
1601	71694	40188
1602	71732	40139
1603	71771	40091
1604	71816	40047
1605	71854	39998
1606	71898	39953
1607	71960	39918
1608	72001	39871
1609	72044	39825
1610	72090	39781
1611	72130	39734
1612	72183	39694
1613	72222	39646
1614	72261	39598
1615	72302	39551
1616	72340	39503
1617	72378	39454
1618	72418	39407
1619	72459	39360
1620	72529	39329
1621	72571	39283
1622	72611	39235
1623	72648	39187
1624	72691	39141
1625	72729	39093
1626	72766	39044
1627	72817	39002
1628	72857	38955
1629	72903	38911
1630	72947	38866
1631	72986	38818
1632	73027	38772
1633	73066	38724
1634	73111	38679
1635	73156	38635
1636	73199	38589
1637	73240	38543
1638	73281	38496
1639	73324	38450
1640	73364	38403
1641	73401	38354
1642	73443	38308
1643	73481	38260
1644	73537	38221
1645	73606	38189
1646	73655	38147
1647	73701	38102
1648	73742	38056
1649	73786	38011
1650	73830	37966
1651	73869	37918
1652	73910	37871
1653	73951	37825
1654	73991	37778
1655	74035	37732
1656	74073	37684
1657	74112	37637
1658	74155	37591
1659	74194	37544
1660	74234	37496
1661	74271	37448
1662	74309	37400
