iter	Logloss	Accuracy	Precision
222	0.3692623066	0.8447853529	0.8428001302
223	0.3691160919	0.8449462712	0.8428182322
224	0.3689441142	0.8450475901	0.8429000108
225	0.368606624	0.845250228	0.843104882
226	0.3684441139	0.845339627	0.8433069727
227	0.3683363997	0.8453813466	0.8433781421
228	0.3681720854	0.845536305	0.8435845803
229	0.3680511929	0.8455541848	0.8435736677
230	0.3678828618	0.845727023	0.843686336
231	0.3677052336	0.8457747025	0.8437842856
232	0.3674456254	0.8459356208	0.843876567
233	0.3673129126	0.8460250198	0.8439130802
234	0.3670392376	0.8460309798	0.8439232512
235	0.3667396151	0.8462395776	0.844113429
236	0.3665689382	0.8463230167	0.8442392759
237	0.3664438432	0.8464183757	0.8442527143
238	0.3663008091	0.8464422154	0.8443100061
239	0.365991369	0.8465256546	0.8442367226
240	0.3658799744	0.8466627331	0.8443876936
241	0.3657121339	0.846859411	0.8446570358
242	0.3656287491	0.8469845697	0.8448043185
243	0.3654183554	0.8470978085	0.8448896975
244	0.3652019412	0.8470322492	0.8447860447
245	0.3650471018	0.8471812477	0.8448909286
246	0.3648533372	0.8472706467	0.8449604934
247	0.3647224252	0.8473481259	0.8449930752
248	0.3645782944	0.8473958054	0.8450495586
249	0.3644719638	0.8474971243	0.8452392425
250	0.3642995763	0.8475746035	0.8453466659
251	0.3641411072	0.8475746035	0.8453133847
252	0.3640519394	0.8476461228	0.8453856625
253	0.3639335405	0.8477414818	0.8455070054
254	0.3638293459	0.8478666404	0.8456376647
255	0.3636709381	0.8478726004	0.8456478525
256	0.3634948791	0.8479500796	0.8457136662
257	0.3633949094	0.8480573584	0.8457887636
258	0.363205369	0.8481646373	0.8458471841
259	0.3631116428	0.8482063569	0.8459518389
260	0.3629910334	0.8482957559	0.8459713357
261	0.3629017311	0.8483613152	0.8461001024
262	0.3626836861	0.8484566742	0.8462882412
263	0.3625457466	0.8485281935	0.8463521899
264	0.3624158298	0.8485162736	0.8462817285
265	0.362196526	0.8486891118	0.8464772782
266	0.3620033137	0.8488023506	0.8465207598
267	0.361774821	0.8488440702	0.8464335597
268	0.3615894172	0.8489811487	0.8466680317
269	0.361466519	0.8491003475	0.8466715629
270	0.3613554655	0.8491063074	0.8466400212
271	0.3611637111	0.8491599468	0.8467234135
272	0.3610201731	0.8493149052	0.8468548727
273	0.3609089326	0.8493983443	0.8468806798
274	0.3607083766	0.8494102642	0.8468843659
275	0.3603826912	0.8495354229	0.8470483436
276	0.3602815246	0.8496248219	0.8471511635
277	0.3600357181	0.8497321008	0.8472595072
278	0.3599210459	0.8497082611	0.8472187113
279	0.3597227056	0.8498274598	0.8473641759
280	0.3595478204	0.8499168589	0.8474586473
281	0.3593776742	0.8500539374	0.8474674176
282	0.3592630486	0.8500718172	0.8474980143
283	0.3590682688	0.8501135368	0.8475359528
284	0.3589405616	0.8501731362	0.8475877589
285	0.3588466287	0.850381734	0.8477774301
286	0.3586424498	0.8505486122	0.8478789191
287	0.3585053435	0.8505605321	0.8478407314
288	0.358386034	0.8506320514	0.847921278
289	0.3582850846	0.8507154905	0.8479887408
290	0.3581678323	0.8508108495	0.8481519804
291	0.3580506742	0.8507929697	0.8481632555
292	0.3579116136	0.8508227693	0.8481723897
293	0.357780771	0.8509181283	0.8483357
294	0.3575501764	0.851144606	0.8484804735
295	0.357287147	0.8512876445	0.8486332355
296	0.3571117954	0.8514843224	0.8488527391
297	0.356942879	0.8515916013	0.8489778238
298	0.3567942893	0.8516929202	0.8490171074
299	0.3566891346	0.8517286798	0.8491540109
300	0.3565091451	0.8518419186	0.8491884933
301	0.3564245859	0.8519313177	0.8492913348
302	0.3563007202	0.8519670773	0.8493442426
303	0.3561670623	0.851901518	0.8491898329
304	0.356063223	0.8518538385	0.8492089274
305	0.3559600324	0.8520326366	0.8493894002
306	0.3558192557	0.852092236	0.8494075188
307	0.355704059	0.8521637552	0.8495049267
308	0.3555940925	0.8522233546	0.8495650814
309	0.3554536613	0.8524021527	0.8497203008
310	0.3553756455	0.8524200325	0.8497425533
311	0.355242853	0.8525988307	0.8499145875
312	0.3551369236	0.8526822698	0.8499903763
313	0.3549933484	0.8527657089	0.8499987973
314	0.3548667529	0.8528729878	0.850132307
315	0.3547835339	0.8528670278	0.8501305043
316	0.3546337957	0.8529683468	0.8502201054
317	0.3545595008	0.8529147073	0.8501449241
318	0.3544483376	0.8530339061	0.8502314954
319	0.3542759809	0.8530756256	0.850303074
320	0.3541226095	0.853141185	0.8503144503
321	0.3539574527	0.8532484638	0.8503468424
322	0.3538249215	0.8533497828	0.8504616716
323	0.3536143578	0.8534034222	0.8506380266
324	0.3535128776	0.8534451418	0.8506168683
325	0.3533796025	0.8535822203	0.8507846792
326	0.3532964623	0.8536418197	0.8507941852
327	0.3531334523	0.8537729383	0.850977091
328	0.352987715	0.8539755762	0.85111397
329	0.3528423287	0.8540232557	0.8511536196
330	0.3526274584	0.8540470954	0.8511270061
331	0.3525127613	0.8540709352	0.8512101574
332	0.3523867005	0.8543212525	0.851471101
333	0.3522386447	0.8544166115	0.8516433957
334	0.3520848197	0.8544881308	0.851639433
335	0.3519455086	0.8545179305	0.8516737207
336	0.3518748955	0.8546013696	0.8517917268
337	0.3518014459	0.8546430892	0.8517957412
338	0.3516746847	0.8547682478	0.8519939388
339	0.3516089947	0.8548814866	0.8521208914
340	0.3514814966	0.8549649258	0.8521796645
341	0.3512889866	0.8550602848	0.8522589257
342	0.3511460728	0.8551139242	0.8522918571
343	0.3510785271	0.855131804	0.8522971852
344	0.3509663174	0.8551556438	0.8523636014
345	0.3508430108	0.855227163	0.8524103267
346	0.3507545303	0.8552450428	0.8525173799
347	0.3506465562	0.8552748425	0.8525432087
348	0.3505587697	0.8554059611	0.8527179339
349	0.3504213948	0.8554238409	0.8527147634
350	0.350308908	0.8555191999	0.8527515875
351	0.3501321076	0.8556622384	0.8529383464
352	0.3500104371	0.8557516375	0.8530073244
353	0.3498565495	0.8559125558	0.853173935
354	0.349653538	0.8560317545	0.8533367013
355	0.3494997074	0.8560913539	0.8533968437
356	0.349375894	0.8561032738	0.8533153756
357	0.3492213176	0.8561986328	0.8533350967
358	0.3490297709	0.8563416713	0.853479369
359	0.348874157	0.8563893508	0.853476463
360	0.3487882449	0.8564489502	0.8534685832
361	0.3486852959	0.856556229	0.8535852504
362	0.3485554412	0.8565860287	0.8536705574
363	0.3484076614	0.8567767467	0.8539394741
364	0.3483306679	0.8567827066	0.8539412302
365	0.3482235944	0.856752907	0.8538558634
366	0.3480708529	0.8568899855	0.8539728333
367	0.3479012307	0.8568959455	0.8539320441
368	0.3478205156	0.8569734246	0.8540314438
369	0.3477192837	0.8570509038	0.8540712698
370	0.3475666417	0.8571701026	0.8541829413
371	0.3474286121	0.8571462628	0.854192959
372	0.3473320176	0.8571641426	0.8542918971
373	0.3471854339	0.8572833414	0.854395076
374	0.3470238645	0.85741446	0.8545614119
375	0.3469430522	0.8574085001	0.8544744275
